ECH;Largeur;Famille;Genre;Espèce;Sexe;Espece_Conc;ITD;Size;Parrain;Coll.;Dét.;ID;Commune;Addresse;Latitude;Longitude;Nombre de nid;Longueur des nids;Largeur trottoir;date observation;photos;hauteur façade en face;Situation des nids;remarque
V24;0,6;Crabronidae;Cerceris;arenaria;female;Cerceris_arenaria;3,4;15,2;(Linneaus 1758);V. Van Keymeulen;G. Noël;V24;Ixelles;Chaussée de Waterloo 626;50,8177574;4,3652221;70;4,242424242;1,5;16.VI.2020;14H00;dalles béton et pavés grès;trottoir_pas_de_maison;Formulaire
V24;1,5;Crabronidae;Cerceris;arenaria;female;Cerceris_arenaria;3,4;15,2;(Linneaus 1758);V. Van Keymeulen;G. Noël;V24;Ixelles;Chaussée de Waterloo 626;50,8177574;4,3652221;70;4,242424242;1,5;16.VI.2020;14H00;dalles béton et pavés grès;trottoir_pas_de_maison;Formulaire
V24;0,7;Crabronidae;Cerceris;arenaria;female;Cerceris_arenaria;3,4;15,2;(Linneaus 1758);V. Van Keymeulen;G. Noël;V24;Ixelles;Chaussée de Waterloo 626;50,8177574;4,3652221;70;4,242424242;1,5;16.VI.2020;14H00;dalles béton et pavés grès;trottoir_pas_de_maison;Formulaire
V24;0,7;Crabronidae;Cerceris;arenaria;female;Cerceris_arenaria;3,4;15,2;(Linneaus 1758);V. Van Keymeulen;G. Noël;V24;Ixelles;Chaussée de Waterloo 626;50,8177574;4,3652221;70;4,242424242;1,5;16.VI.2020;14H00;dalles béton et pavés grès;trottoir_pas_de_maison;Formulaire
V24;0,6;Crabronidae;Cerceris;arenaria;female;Cerceris_arenaria;3,4;15,2;(Linneaus 1758);V. Van Keymeulen;G. Noël;V24;Ixelles;Chaussée de Waterloo 626;50,8177574;4,3652221;70;4,242424242;1,5;16.VI.2020;14H00;dalles béton et pavés grès;trottoir_pas_de_maison;Formulaire
V24;0,9;Crabronidae;Cerceris;arenaria;female;Cerceris_arenaria;3,4;15,2;(Linneaus 1758);V. Van Keymeulen;G. Noël;V24;Ixelles;Chaussée de Waterloo 626;50,8177574;4,3652221;70;4,242424242;1,5;16.VI.2020;14H00;dalles béton et pavés grès;trottoir_pas_de_maison;Formulaire
V26;1,2;Crabronidae;Cerceris;arenaria;female;Cerceris_arenaria;3,5;13,2;(Linneaus 1758);V. Van Keymeulen;G. Noël;V26;Ville de Bruxelles;Rue de Crayer, 17;50,8206029;4,367746;35;2,8;2,5;23.VI.2020;13H30;pavés grès;trottoir;Formulaire
V26;0,7;Crabronidae;Cerceris;arenaria;female;Cerceris_arenaria;3,5;13,2;(Linneaus 1758);V. Van Keymeulen;G. Noël;V26;Ville de Bruxelles;Rue de Crayer, 17;50,8206029;4,367746;35;2,8;2,5;23.VI.2020;13H30;pavés grès;trottoir;Formulaire
V26;0,8;Crabronidae;Cerceris;arenaria;female;Cerceris_arenaria;3,5;13,2;(Linneaus 1758);V. Van Keymeulen;G. Noël;V26;Ville de Bruxelles;Rue de Crayer, 17;50,8206029;4,367746;35;2,8;2,5;23.VI.2020;13H30;pavés grès;trottoir;Formulaire
V27;1,2;Crabronidae;Cerceris;arenaria;female;Cerceris_arenaria;3,1;12,7;(Linneaus 1758);V. Van Keymeulen;G. Noël;V27;Ixelles;Rue Jean Baptiste Meunier, 28;50,8149023;4,3504904;20;3,2;2,5;23.VI.2020;14H30;pavés grès;trottoir;Formulaire
V27;1;Crabronidae;Cerceris;arenaria;female;Cerceris_arenaria;3,1;12,7;(Linneaus 1758);V. Van Keymeulen;G. Noël;V27;Ixelles;Rue Jean Baptiste Meunier, 28;50,8149023;4,3504904;20;3,2;2,5;23.VI.2020;14H30;pavés grès;trottoir;Formulaire
V27;0,5;Crabronidae;Cerceris;arenaria;female;Cerceris_arenaria;3,1;12,7;(Linneaus 1758);V. Van Keymeulen;G. Noël;V27;Ixelles;Rue Jean Baptiste Meunier, 28;50,8149023;4,3504904;20;3,2;2,5;23.VI.2020;14H30;pavés grès;trottoir;Formulaire
V28;1,2;Crabronidae;Cerceris;arenaria;female;Cerceris_arenaria;3,3;15,2;(Linneaus 1758);V. Van Keymeulen;G. Noël;V28;Uccle;Rue Roberts Jones, 33;50,8077701;4,3550852;95;1,696428571;3,5;23.VI.2020;15H00;pavés grès;trottoir;Formulaire
V28;1;Crabronidae;Cerceris;arenaria;female;Cerceris_arenaria;3,3;15,2;(Linneaus 1758);V. Van Keymeulen;G. Noël;V28;Uccle;Rue Roberts Jones, 33;50,8077701;4,3550852;95;1,696428571;3,5;23.VI.2020;15H00;pavés grès;trottoir;Formulaire
V28;1,6;Crabronidae;Cerceris;arenaria;female;Cerceris_arenaria;3,3;15,2;(Linneaus 1758);V. Van Keymeulen;G. Noël;V28;Uccle;Rue Roberts Jones, 33;50,8077701;4,3550852;95;1,696428571;3,5;23.VI.2020;15H00;pavés grès;trottoir;Formulaire
V29;0,8;Crabronidae;Cerceris;arenaria;female;Cerceris_arenaria;3;13,6;(Linneaus 1758);V. Van Keymeulen;G. Noël;V29;Uccle;Drêve du Sénéchal, 19;50,7945591;4,3770821;115;4,107142857;2;23.VI.2020;15H30;dalles béton;trottoir;Formulaire
V29;0,9;Crabronidae;Cerceris;arenaria;female;Cerceris_arenaria;3;13,6;(Linneaus 1758);V. Van Keymeulen;G. Noël;V29;Uccle;Drêve du Sénéchal, 19;50,7945591;4,3770821;115;4,107142857;2;23.VI.2020;15H30;dalles béton;trottoir;Formulaire
V29;0,9;Crabronidae;Cerceris;arenaria;female;Cerceris_arenaria;3;13,6;(Linneaus 1758);V. Van Keymeulen;G. Noël;V29;Uccle;Drêve du Sénéchal, 19;50,7945591;4,3770821;115;4,107142857;2;23.VI.2020;15H30;dalles béton;trottoir;Formulaire
V29;0,9;Crabronidae;Cerceris;arenaria;female;Cerceris_arenaria;3;13,6;(Linneaus 1758);V. Van Keymeulen;G. Noël;V29;Uccle;Drêve du Sénéchal, 19;50,7945591;4,3770821;115;4,107142857;2;23.VI.2020;15H30;dalles béton;trottoir;Formulaire
V29;1,2;Crabronidae;Cerceris;arenaria;female;Cerceris_arenaria;3;13,6;(Linneaus 1758);V. Van Keymeulen;G. Noël;V29;Uccle;Drêve du Sénéchal, 19;50,7945591;4,3770821;115;4,107142857;2;23.VI.2020;15H30;dalles béton;trottoir;Formulaire
V29;1,1;Crabronidae;Cerceris;arenaria;female;Cerceris_arenaria;3;13,6;(Linneaus 1758);V. Van Keymeulen;G. Noël;V29;Uccle;Drêve du Sénéchal, 19;50,7945591;4,3770821;115;4,107142857;2;23.VI.2020;15H30;dalles béton;trottoir;Formulaire
V30;1,7;Crabronidae;Cerceris;arenaria;female;Cerceris_arenaria;3,1;13,8;(Linneaus 1758);V. Van Keymeulen;G. Noël;V30;Watermael-Boitsfort;Avenue des Ortolans, 101;50,8036752;4,4063911;90;2,5;3;26.VI.2020;13H00;dalles béton;trottoir;Formulaire
V30;1,3;Crabronidae;Cerceris;arenaria;female;Cerceris_arenaria;3,1;13,8;(Linneaus 1758);V. Van Keymeulen;G. Noël;V30;Watermael-Boitsfort;Avenue des Ortolans, 101;50,8036752;4,4063911;90;2,5;3;26.VI.2020;13H00;dalles béton;trottoir;Formulaire
V30;0,9;Crabronidae;Cerceris;arenaria;female;Cerceris_arenaria;3,1;13,8;(Linneaus 1758);V. Van Keymeulen;G. Noël;V30;Watermael-Boitsfort;Avenue des Ortolans, 101;50,8036752;4,4063911;90;2,5;3;26.VI.2020;13H00;dalles béton;trottoir;Formulaire
V30;2;Crabronidae;Cerceris;arenaria;female;Cerceris_arenaria;3,1;13,8;(Linneaus 1758);V. Van Keymeulen;G. Noël;V30;Watermael-Boitsfort;Avenue des Ortolans, 101;50,8036752;4,4063911;90;2,5;3;26.VI.2020;13H00;dalles béton;trottoir;Formulaire
V30;1,2;Crabronidae;Cerceris;arenaria;female;Cerceris_arenaria;3,1;13,8;(Linneaus 1758);V. Van Keymeulen;G. Noël;V30;Watermael-Boitsfort;Avenue des Ortolans, 101;50,8036752;4,4063911;90;2,5;3;26.VI.2020;13H00;dalles béton;trottoir;Formulaire
V30;1,7;Crabronidae;Cerceris;arenaria;female;Cerceris_arenaria;3,1;13,8;(Linneaus 1758);V. Van Keymeulen;G. Noël;V30;Watermael-Boitsfort;Avenue des Ortolans, 101;50,8036752;4,4063911;90;2,5;3;26.VI.2020;13H00;dalles béton;trottoir;Formulaire
V31;1;Crabronidae;Cerceris;arenaria;female;Cerceris_arenaria;3,1;13;(Linneaus 1758);V. Van Keymeulen;G. Noël;V31;Watermael-Boitsfort;Rue de l'Aronde, 18;50,7997295;4,4114888;54;1,038461538;2;26.VI.2020;14H00;dalles béton;trottoir;Formulaire
V31;2;Crabronidae;Cerceris;arenaria;female;Cerceris_arenaria;3,1;13;(Linneaus 1758);V. Van Keymeulen;G. Noël;V31;Watermael-Boitsfort;Rue de l'Aronde, 18;50,7997295;4,4114888;54;1,038461538;2;26.VI.2020;14H00;dalles béton;trottoir;Formulaire
V31;1,2;Crabronidae;Cerceris;arenaria;female;Cerceris_arenaria;3,1;13;(Linneaus 1758);V. Van Keymeulen;G. Noël;V31;Watermael-Boitsfort;Rue de l'Aronde, 18;50,7997295;4,4114888;54;1,038461538;2;26.VI.2020;14H00;dalles béton;trottoir;Formulaire
V31;1,6;Crabronidae;Cerceris;arenaria;female;Cerceris_arenaria;3,1;13;(Linneaus 1758);V. Van Keymeulen;G. Noël;V31;Watermael-Boitsfort;Rue de l'Aronde, 18;50,7997295;4,4114888;54;1,038461538;2;26.VI.2020;14H00;dalles béton;trottoir;Formulaire
V31;1;Crabronidae;Cerceris;arenaria;female;Cerceris_arenaria;3,1;13;(Linneaus 1758);V. Van Keymeulen;G. Noël;V31;Watermael-Boitsfort;Rue de l'Aronde, 18;50,7997295;4,4114888;54;1,038461538;2;26.VI.2020;14H00;dalles béton;trottoir;Formulaire
V31;0,9;Crabronidae;Cerceris;arenaria;female;Cerceris_arenaria;3,1;13;(Linneaus 1758);V. Van Keymeulen;G. Noël;V31;Watermael-Boitsfort;Rue de l'Aronde, 18;50,7997295;4,4114888;54;1,038461538;2;26.VI.2020;14H00;dalles béton;trottoir;Formulaire
V6;0,7;Crabronidae;Cerceris;arenaria;female;Cerceris_arenaria;3;12,6;(Linneaus 1758);V. Van Keymeulen;G. Noël;V6;Uccle;Avenue d'Orbaix 5-13;50,7880411;4,3708793;500;3,333333333;3;21.V.2020;14H30;pavés béton;trottoir;Formulaire
V6;1,2;Crabronidae;Cerceris;arenaria;female;Cerceris_arenaria;3;12,6;(Linneaus 1758);V. Van Keymeulen;G. Noël;V6;Uccle;Avenue d'Orbaix 5-13;50,7880411;4,3708793;500;3,333333333;3;21.V.2020;14H30;pavés béton;trottoir;Formulaire
V6;1,2;Crabronidae;Cerceris;arenaria;female;Cerceris_arenaria;3;12,6;(Linneaus 1758);V. Van Keymeulen;G. Noël;V6;Uccle;Avenue d'Orbaix 5-13;50,7880411;4,3708793;500;3,333333333;3;21.V.2020;14H30;pavés béton;trottoir;Formulaire
V6;1,2;Crabronidae;Cerceris;arenaria;female;Cerceris_arenaria;3;12,6;(Linneaus 1758);V. Van Keymeulen;G. Noël;V6;Uccle;Avenue d'Orbaix 5-13;50,7880411;4,3708793;500;3,333333333;3;21.V.2020;14H30;pavés béton;trottoir;Formulaire
V6;0,8;Crabronidae;Cerceris;arenaria;female;Cerceris_arenaria;3;12,6;(Linneaus 1758);V. Van Keymeulen;G. Noël;V6;Uccle;Avenue d'Orbaix 5-13;50,7880411;4,3708793;500;3,333333333;3;21.V.2020;14H30;pavés béton;trottoir;Formulaire
V6;1,2;Crabronidae;Cerceris;arenaria;female;Cerceris_arenaria;3;12,6;(Linneaus 1758);V. Van Keymeulen;G. Noël;V6;Uccle;Avenue d'Orbaix 5-13;50,7880411;4,3708793;500;3,333333333;3;21.V.2020;14H30;pavés béton;trottoir;Formulaire
V8;1,5;Crabronidae;Cerceris;arenaria;female;Cerceris_arenaria;3;11,9;(Linneaus 1758);V. Van Keymeulen;G. Noël;V8;Uccle;Rue Molenvelt X Avenue Reisdorff;50,792973;4,324441;400;10,38961039;3,5;27.V.2020;12H00;dalles béton;trottoir;Formulaire
V8;0,6;Crabronidae;Cerceris;arenaria;female;Cerceris_arenaria;3;11,9;(Linneaus 1758);V. Van Keymeulen;G. Noël;V8;Uccle;Rue Molenvelt X Avenue Reisdorff;50,792973;4,324441;400;10,38961039;3,5;27.V.2020;12H00;dalles béton;trottoir;Formulaire
V8;0,6;Crabronidae;Cerceris;arenaria;female;Cerceris_arenaria;3;11,9;(Linneaus 1758);V. Van Keymeulen;G. Noël;V8;Uccle;Rue Molenvelt X Avenue Reisdorff;50,792973;4,324441;400;10,38961039;3,5;27.V.2020;12H00;dalles béton;trottoir;Formulaire
V9;0,6;Crabronidae;Cerceris;arenaria;female;Cerceris_arenaria;3,4;13,6;(Linneaus 1758);V. Van Keymeulen;G. Noël;V9;Anderlecht;Rue Fridtjof Nansen 32;50,8259163;4,2919444;150;1,666666667;3;27.V.2020;14H30;dalles béton;trottoir;Formulaire
V9;0,6;Crabronidae;Cerceris;arenaria;female;Cerceris_arenaria;3,4;13,6;(Linneaus 1758);V. Van Keymeulen;G. Noël;V9;Anderlecht;Rue Fridtjof Nansen 32;50,8259163;4,2919444;150;1,666666667;3;27.V.2020;14H30;dalles béton;trottoir;Formulaire
V9;0,6;Crabronidae;Cerceris;arenaria;female;Cerceris_arenaria;3,4;13,6;(Linneaus 1758);V. Van Keymeulen;G. Noël;V9;Anderlecht;Rue Fridtjof Nansen 32;50,8259163;4,2919444;150;1,666666667;3;27.V.2020;14H30;dalles béton;trottoir;Formulaire
V9;0,6;Crabronidae;Cerceris;arenaria;female;Cerceris_arenaria;3,4;13,6;(Linneaus 1758);V. Van Keymeulen;G. Noël;V9;Anderlecht;Rue Fridtjof Nansen 32;50,8259163;4,2919444;150;1,666666667;3;27.V.2020;14H30;dalles béton;trottoir;Formulaire
V9;0,8;Crabronidae;Cerceris;arenaria;female;Cerceris_arenaria;3,4;13,6;(Linneaus 1758);V. Van Keymeulen;G. Noël;V9;Anderlecht;Rue Fridtjof Nansen 32;50,8259163;4,2919444;150;1,666666667;3;27.V.2020;14H30;dalles béton;trottoir;Formulaire
V9;0,9;Crabronidae;Cerceris;arenaria;female;Cerceris_arenaria;3,4;13,6;(Linneaus 1758);V. Van Keymeulen;G. Noël;V9;Anderlecht;Rue Fridtjof Nansen 32;50,8259163;4,2919444;150;1,666666667;3;27.V.2020;14H30;dalles béton;trottoir;Formulaire
V19;1,2;Crabronidae;Cerceris;quadricincta;female;Cerceris_quadricincta;1,9;8,3;(Panzer 1799);V. Van Keymeulen;Y. Barbier;V19;Watermael-Boitsfort;Avenue Coloniale, 76;50,8054903;4,4062858;85;4,25;5;03.VI.2020;14H00;dalles béton;cour;Formulaire
V19;0,8;Crabronidae;Cerceris;quadricincta;female;Cerceris_quadricincta;1,9;8,3;(Panzer 1799);V. Van Keymeulen;Y. Barbier;V19;Watermael-Boitsfort;Avenue Coloniale, 76;50,8054903;4,4062858;85;4,25;5;03.VI.2020;14H00;dalles béton;cour;Formulaire
V19;0,6;Crabronidae;Cerceris;quadricincta;female;Cerceris_quadricincta;1,9;8,3;(Panzer 1799);V. Van Keymeulen;Y. Barbier;V19;Watermael-Boitsfort;Avenue Coloniale, 76;50,8054903;4,4062858;85;4,25;5;03.VI.2020;14H00;dalles béton;cour;Formulaire
V26;0,9;Crabronidae;Cerceris;quadricincta;female;Cerceris_quadricincta;2,2;10;(Panzer 1799);V. Van Keymeulen;G. Noël;V26;Ville de Bruxelles;Rue de Crayer, 17;50,8206029;4,367746;35;2,8;2,5;23.VI.2020;13H30;pavés grès;trottoir;Formulaire
V26;0,7;Crabronidae;Cerceris;quadricincta;female;Cerceris_quadricincta;2,2;10;(Panzer 1799);V. Van Keymeulen;G. Noël;V26;Ville de Bruxelles;Rue de Crayer, 17;50,8206029;4,367746;35;2,8;2,5;23.VI.2020;13H30;pavés grès;trottoir;Formulaire
V26;0,8;Crabronidae;Cerceris;quadricincta;female;Cerceris_quadricincta;2,2;10;(Panzer 1799);V. Van Keymeulen;G. Noël;V26;Ville de Bruxelles;Rue de Crayer, 17;50,8206029;4,367746;35;2,8;2,5;23.VI.2020;13H30;pavés grès;trottoir;Formulaire
V27;1,3;Crabronidae;Cerceris;quadricincta;female;Cerceris_quadricincta;2,5;9,2;(Panzer 1799);V. Van Keymeulen;G. Noël;V27;Ixelles;Rue Jean Baptiste Meunier, 28;50,8149023;4,3504904;20;3,2;2,5;23.VI.2020;14H30;pavés grès;trottoir;Formulaire
V27;0,9;Crabronidae;Cerceris;quadricincta;female;Cerceris_quadricincta;2,5;9,2;(Panzer 1799);V. Van Keymeulen;G. Noël;V27;Ixelles;Rue Jean Baptiste Meunier, 28;50,8149023;4,3504904;20;3,2;2,5;23.VI.2020;14H30;pavés grès;trottoir;Formulaire
V27;1;Crabronidae;Cerceris;quadricincta;female;Cerceris_quadricincta;2,5;9,2;(Panzer 1799);V. Van Keymeulen;G. Noël;V27;Ixelles;Rue Jean Baptiste Meunier, 28;50,8149023;4,3504904;20;3,2;2,5;23.VI.2020;14H30;pavés grès;trottoir;Formulaire
V22;0,5;Crabronidae;Cerceris;rybyensis;female;Cerceris_rybyensis;2,8;10,1;(Linneaus 1771);V. Van Keymeulen;G. Noël;V22;Uccle;Rue de l'équateur 19-23;50,7952416;4,3627867;500;9,433962264;2;16.VI.2020;12H00;dalles béton;trottoir_cour;Formulaire
V22;0,7;Crabronidae;Cerceris;rybyensis;female;Cerceris_rybyensis;2,8;10,1;(Linneaus 1771);V. Van Keymeulen;G. Noël;V22;Uccle;Rue de l'équateur 19-23;50,7952416;4,3627867;500;9,433962264;2;16.VI.2020;12H00;dalles béton;trottoir_cour;Formulaire
V25;0,8;Crabronidae;Cerceris;rybyensis;female;Cerceris_rybyensis;2;10,6;(Linneaus 1771);V. Van Keymeulen;Y. Barbier;V25;Forest;Avenue Besme 74;50,8205518;4,3372623;65;2,063492063;3,5;16.VI.2020;14H30;dalles béton abimées et pavés grès;trottoir;Formulaire
V25;0,9;Crabronidae;Cerceris;rybyensis;female;Cerceris_rybyensis;2;10,6;(Linneaus 1771);V. Van Keymeulen;Y. Barbier;V25;Forest;Avenue Besme 74;50,8205518;4,3372623;65;2,063492063;3,5;16.VI.2020;14H30;dalles béton abimées et pavés grès;trottoir;Formulaire
V28;2,2;Crabronidae;Cerceris;rybyensis;female;Cerceris_rybyensis;2,6;9;(Linneaus 1771);V. Van Keymeulen;Y. Barbier;V28;Uccle;Rue Roberts Jones, 33;50,8077701;4,3550852;95;1,696428571;3,5;23.VI.2020;15H00;pavés grès;trottoir;Formulaire
V28;0,8;Crabronidae;Cerceris;rybyensis;female;Cerceris_rybyensis;2,6;9;(Linneaus 1771);V. Van Keymeulen;Y. Barbier;V28;Uccle;Rue Roberts Jones, 33;50,8077701;4,3550852;95;1,696428571;3,5;23.VI.2020;15H00;pavés grès;trottoir;Formulaire
V28;1,1;Crabronidae;Cerceris;rybyensis;female;Cerceris_rybyensis;2,6;9;(Linneaus 1771);V. Van Keymeulen;Y. Barbier;V28;Uccle;Rue Roberts Jones, 33;50,8077701;4,3550852;95;1,696428571;3,5;23.VI.2020;15H00;pavés grès;trottoir;Formulaire
G12;0,6;Melittidae;Dasypoda;hirtipes;female;Dasypoda_hirtipes;4,4;13;(Fabricius 1793);G. Noël;J. Bonnet;G12;Auderghem;Rue Léon Vande Woesteyne, 7-15;50,8045686;4,4376087;200;35;1,5;03.VI.2020;13H00;;Trottoir_Rue;Formulaire
G12;0,5;Melittidae;Dasypoda;hirtipes;female;Dasypoda_hirtipes;4,4;13;(Fabricius 1793);G. Noël;J. Bonnet;G12;Auderghem;Rue Léon Vande Woesteyne, 7-15;50,8045686;4,4376087;200;35;1,5;03.VI.2020;13H00;;Trottoir_Rue;Formulaire
G12;0,8;Melittidae;Dasypoda;hirtipes;female;Dasypoda_hirtipes;4,4;13;(Fabricius 1793);G. Noël;J. Bonnet;G12;Auderghem;Rue Léon Vande Woesteyne, 7-15;50,8045686;4,4376087;200;35;1,5;03.VI.2020;13H00;;Trottoir_Rue;Formulaire
G12;1;Melittidae;Dasypoda;hirtipes;female;Dasypoda_hirtipes;4,4;13;(Fabricius 1793);G. Noël;J. Bonnet;G12;Auderghem;Rue Léon Vande Woesteyne, 7-15;50,8045686;4,4376087;200;35;1,5;03.VI.2020;13H00;;Trottoir_Rue;Formulaire
G12;0,9;Melittidae;Dasypoda;hirtipes;female;Dasypoda_hirtipes;4,4;13;(Fabricius 1793);G. Noël;J. Bonnet;G12;Auderghem;Rue Léon Vande Woesteyne, 7-15;50,8045686;4,4376087;200;35;1,5;03.VI.2020;13H00;;Trottoir_Rue;Formulaire
G12;1;Melittidae;Dasypoda;hirtipes;female;Dasypoda_hirtipes;4,4;13;(Fabricius 1793);G. Noël;J. Bonnet;G12;Auderghem;Rue Léon Vande Woesteyne, 7-15;50,8045686;4,4376087;200;35;1,5;03.VI.2020;13H00;;Trottoir_Rue;Formulaire
G2;1,5;Melittidae;Dasypoda;hirtipes;female;Dasypoda_hirtipes;4,4;13,8;(Fabricius 1793);G. Noël;J. Bonnet;G2;Woluwé-Saint-Lambert;Rue Abbé Jean Heyman, entrée de l'école Princesse Paola;50,8496;4,426647;200;40;5;26.V.2020;16H00;dalles béton;Trottoir;Formulaire
G2;1;Melittidae;Dasypoda;hirtipes;female;Dasypoda_hirtipes;4,4;13,8;(Fabricius 1793);G. Noël;J. Bonnet;G2;Woluwé-Saint-Lambert;Rue Abbé Jean Heyman, entrée de l'école Princesse Paola;50,8496;4,426647;200;40;5;26.V.2020;16H00;dalles béton;Trottoir;Formulaire
G2;2;Melittidae;Dasypoda;hirtipes;female;Dasypoda_hirtipes;4,4;13,8;(Fabricius 1793);G. Noël;J. Bonnet;G2;Woluwé-Saint-Lambert;Rue Abbé Jean Heyman, entrée de l'école Princesse Paola;50,8496;4,426647;200;40;5;26.V.2020;16H00;dalles béton;Trottoir;Formulaire
V10;1,3;Melittidae;Dasypoda;hirtipes;female;Dasypoda_hirtipes;3,6;13;(Fabricius 1793);V. Van Keymeulen;J. Bonnet;V10;Anderlecht;Rue Pierre Marchant, pont du canal;50,83187;4,314966;50;0,833333333;2;27.V.2020;15H30;dalles béton;trottoir;Formulaire
V10;1,2;Melittidae;Dasypoda;hirtipes;female;Dasypoda_hirtipes;3,6;13;(Fabricius 1793);V. Van Keymeulen;J. Bonnet;V10;Anderlecht;Rue Pierre Marchant, pont du canal;50,83187;4,314966;50;0,833333333;2;27.V.2020;15H30;dalles béton;trottoir;Formulaire
V10;1,3;Melittidae;Dasypoda;hirtipes;female;Dasypoda_hirtipes;3,6;13;(Fabricius 1793);V. Van Keymeulen;J. Bonnet;V10;Anderlecht;Rue Pierre Marchant, pont du canal;50,83187;4,314966;50;0,833333333;2;27.V.2020;15H30;dalles béton;trottoir;Formulaire
V10;1;Melittidae;Dasypoda;hirtipes;female;Dasypoda_hirtipes;3,6;13;(Fabricius 1793);V. Van Keymeulen;J. Bonnet;V10;Anderlecht;Rue Pierre Marchant, pont du canal;50,83187;4,314966;50;0,833333333;2;27.V.2020;15H30;dalles béton;trottoir;Formulaire
V10;1;Melittidae;Dasypoda;hirtipes;female;Dasypoda_hirtipes;3,6;13;(Fabricius 1793);V. Van Keymeulen;J. Bonnet;V10;Anderlecht;Rue Pierre Marchant, pont du canal;50,83187;4,314966;50;0,833333333;2;27.V.2020;15H30;dalles béton;trottoir;Formulaire
V10;1,6;Melittidae;Dasypoda;hirtipes;female;Dasypoda_hirtipes;3,6;13;(Fabricius 1793);V. Van Keymeulen;J. Bonnet;V10;Anderlecht;Rue Pierre Marchant, pont du canal;50,83187;4,314966;50;0,833333333;2;27.V.2020;15H30;dalles béton;trottoir;Formulaire
V18;0,7;Melittidae;Dasypoda;hirtipes;female;Dasypoda_hirtipes;3,9;14,4;(Fabricius 1793);V. Van Keymeulen;J. Bonnet;V18;Watermael-Boitsfort;Avenue Coloniale, 34;50,8040587;4,405511;70;1,029411765;6;03.VI.2020;13H30;dalles béton;cour-trottoir;Formulaire
V18;1,2;Melittidae;Dasypoda;hirtipes;female;Dasypoda_hirtipes;3,9;14,4;(Fabricius 1793);V. Van Keymeulen;J. Bonnet;V18;Watermael-Boitsfort;Avenue Coloniale, 34;50,8040587;4,405511;70;1,029411765;6;03.VI.2020;13H30;dalles béton;cour-trottoir;Formulaire
V18;0,7;Melittidae;Dasypoda;hirtipes;female;Dasypoda_hirtipes;3,9;14,4;(Fabricius 1793);V. Van Keymeulen;J. Bonnet;V18;Watermael-Boitsfort;Avenue Coloniale, 34;50,8040587;4,405511;70;1,029411765;6;03.VI.2020;13H30;dalles béton;cour-trottoir;Formulaire
V23;1,4;Melittidae;Dasypoda;hirtipes;female;Dasypoda_hirtipes;3,8;12,8;(Fabricius 1793);V. Van Keymeulen;J. Bonnet;V23;Uccle;Avenue latérale 165;50,7956279;4,3652847;85;17;2;16.VI.2020;13H00;pavés béton;trottoir;Formulaire
V23;0,7;Melittidae;Dasypoda;hirtipes;female;Dasypoda_hirtipes;3,8;12,8;(Fabricius 1793);V. Van Keymeulen;J. Bonnet;V23;Uccle;Avenue latérale 165;50,7956279;4,3652847;85;17;2;16.VI.2020;13H00;pavés béton;trottoir;Formulaire
V23;0,9;Melittidae;Dasypoda;hirtipes;female;Dasypoda_hirtipes;3,8;12,8;(Fabricius 1793);V. Van Keymeulen;J. Bonnet;V23;Uccle;Avenue latérale 165;50,7956279;4,3652847;85;17;2;16.VI.2020;13H00;pavés béton;trottoir;Formulaire
V25;0,8;Melittidae;Dasypoda;hirtipes;female;Dasypoda_hirtipes;4,1;12,4;(Fabricius 1793);V. Van Keymeulen;J. Bonnet;V25;Forest;Avenue Besme 74;50,8205518;4,3372623;65;2,063492063;3,5;16.VI.2020;14H30;dalles béton abimées et pavés grès;trottoir;Formulaire
V25;0,9;Melittidae;Dasypoda;hirtipes;female;Dasypoda_hirtipes;4,1;12,4;(Fabricius 1793);V. Van Keymeulen;J. Bonnet;V25;Forest;Avenue Besme 74;50,8205518;4,3372623;65;2,063492063;3,5;16.VI.2020;14H30;dalles béton abimées et pavés grès;trottoir;Formulaire
V8;0,6;Melittidae;Dasypoda;hirtipes;female;Dasypoda_hirtipes;4,4;13,8;(Fabricius 1793);V. Van Keymeulen;J. Bonnet;V8;Uccle;Rue Molenvelt X Avenue Reisdorff;50,792973;4,324441;400;10,38961039;3,5;27.V.2020;12H00;dalles béton;trottoir;Formulaire
V8;0,6;Melittidae;Dasypoda;hirtipes;female;Dasypoda_hirtipes;4,4;13,8;(Fabricius 1793);V. Van Keymeulen;J. Bonnet;V8;Uccle;Rue Molenvelt X Avenue Reisdorff;50,792973;4,324441;400;10,38961039;3,5;27.V.2020;12H00;dalles béton;trottoir;Formulaire
V8;1;Melittidae;Dasypoda;hirtipes;female;Dasypoda_hirtipes;4,4;13,8;(Fabricius 1793);V. Van Keymeulen;J. Bonnet;V8;Uccle;Rue Molenvelt X Avenue Reisdorff;50,792973;4,324441;400;10,38961039;3,5;27.V.2020;12H00;dalles béton;trottoir;Formulaire
15;0,6;Halictidae;Lasioglossum;fulvicorne;female;Lasioglossum_fulvicorne;1,6;6;(Kirby 1802);G. Noël;G. Noël;15;Uccle;Avenue de la Floride, 75;50,8066565;4,3659904;5&10;1;;11.IV.2020;14h45;Dalles béton;Trottoir;Site_Pot
