ECH;Largeur;Famille;Genre;Espèce;Sexe;Espece_Conc;ITD;Size;Parrain;Coll.;Dét.;ID;Commune;Addresse;Latitude;Longitude;Nombre de nid;Longueur des nids;Largeur trottoir;date observation;photos;hauteur façade en face;Situation des nids;remarque
23;0,7;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;2,7;9,8;(Kirby 1802);G. Noël;J. Bonnet;23;Watermael-Boitsfort;Rue des touristes, 24;50,807009;4,4040085;20;4;8;17h00;16h00;Pavés grès;Trottoir;Formulaire
27;1;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;3,8;12,5;(Kirby 1802);G. Noël;J. Bonnet;27;Watermael-Boitsfort;Avenue de la tenderie 72;50,8015396;4,406472;2;2;;15.IV.2020;13h00;Dalles béton;Trottoir;Site_Pot
27;0,7;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;3,8;12,5;(Kirby 1802);G. Noël;J. Bonnet;27;Watermael-Boitsfort;Avenue de la tenderie 72;50,8015396;4,406472;2;2;;15.IV.2020;13h00;Dalles béton;Trottoir;Site_Pot
29;2;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;2,6;10,5;(Kirby 1802);G. Noël;J. Bonnet;29;Schaerbeek;Avenue Maréchal Foch, 7-19;50,8685995;4,3739861;200;40;2;22.IV.2020;13h00;Pavés;Trottoir;Formulaire
29;2;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;2,6;10,5;(Kirby 1802);G. Noël;J. Bonnet;29;Schaerbeek;Avenue Maréchal Foch, 7-19;50,8685995;4,3739861;200;40;2;22.IV.2020;13h00;Pavés;Trottoir;Formulaire
29;1,8;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;2,6;10,5;(Kirby 1802);G. Noël;J. Bonnet;29;Schaerbeek;Avenue Maréchal Foch, 7-19;50,8685995;4,3739861;200;40;2;22.IV.2020;13h00;Pavés;Trottoir;Formulaire
29;1,7;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;2,6;10,5;(Kirby 1802);G. Noël;J. Bonnet;29;Schaerbeek;Avenue Maréchal Foch, 7-19;50,8685995;4,3739861;200;40;2;22.IV.2020;13h00;Pavés;Trottoir;Formulaire
29;1;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;2,6;10,5;(Kirby 1802);G. Noël;J. Bonnet;29;Schaerbeek;Avenue Maréchal Foch, 7-19;50,8685995;4,3739861;200;40;2;22.IV.2020;13h00;Pavés;Trottoir;Formulaire
29;0,5;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;2,6;10,5;(Kirby 1802);G. Noël;J. Bonnet;29;Schaerbeek;Avenue Maréchal Foch, 7-19;50,8685995;4,3739861;200;40;2;22.IV.2020;13h00;Pavés;Trottoir;Formulaire
31;0,3;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;3,3;11,2;(Kirby 1802);G. Noël;J. Bonnet;31;Saint-Gilles;Avenue du Mont Kemmel, 26-32;50,8239736;4,3409383;175;15;3;25.IV.2020;14h30;Pavés;Trottoir;Formulaire
31;1;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;3,3;11,2;(Kirby 1802);G. Noël;J. Bonnet;31;Saint-Gilles;Avenue du Mont Kemmel, 26-32;50,8239736;4,3409383;175;15;3;25.IV.2020;14h30;Pavés;Trottoir;Formulaire
31;1,3;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;3,3;11,2;(Kirby 1802);G. Noël;J. Bonnet;31;Saint-Gilles;Avenue du Mont Kemmel, 26-32;50,8239736;4,3409383;175;15;3;25.IV.2020;14h30;Pavés;Trottoir;Formulaire
31;1,5;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;3,3;11,2;(Kirby 1802);G. Noël;J. Bonnet;31;Saint-Gilles;Avenue du Mont Kemmel, 26-32;50,8239736;4,3409383;175;15;3;25.IV.2020;14h30;Pavés;Trottoir;Formulaire
