ECH;Famille;Genre;Espèce;Sexe;Espece_Conc;Parrain;Coll.;Dét.;ID;Commune;Addresse;Latitude;Longitude;Nombre de nid;Longueur des nids;Largeur Trottoir;date observation;Type de pavés;Situation des nids;remarque;more_1 mm;btw_1mm_500µm;btw_500-200µm;btw_200-100µm;btw_100-50µm;less_50µm
15;Halictidae;Lasioglossum;fulvicorne;female;Lasioglossum_fulvicorne;(Kirby 1802);G. Noël;G. Noël;15;Uccle;Avenue de la Floride, 75;50,8066565;4,3659904;5&10;1;;11.IV.2020;Dalles béton;Trottoir;Site_Pot;10,72555205;7,886435331;40,69400631;23,65930599;14,1955836;2,839116719
16;Halictidae;Lasioglossum;sexstrigatum;female;Lasioglossum_sexstrigatum;(Schenck 1868);G. Noël;G. Noël;16;Uccle;Avenue de la Floride, 4-8;50,809854;4,365408;10;4;;11.IV.2020;Dalles béton;Pas de maison_Trottoir;Site_Pot;5,454545455;7,272727273;59,09090909;22,72727273;5,454545455;0
17;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;17;Schaerbeek;Rue du Saphir, à gauche du 32;50,85356618;4,397974931;500;13;3;23.IV.2020;Pavés grès;Trottoir;Formulaire;1,438848921;6,326703343;38,08717732;37,07151926;14,28269149;2,79305967
19;Halictidae;Lasioglossum;laticeps;female;Lasioglossum_laticeps;(Schenck 1868);G. Noël;J. Bonnet;19;Berchem-Saint-Agathe;Avenue de Koekelberg, 34;50,8623683;4,3036357;10;4;0,5;22.IV.2020;Dalles céramique;Court_Interne;Formulaire;1,384615385;6,41025641;49,17948718;30,30769231;9,743589744;2,974358974
20;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;20;Ville de Bruxelles;Rue de l'écuelle, 19;50,8479867;4,3907688;40;5;2;21.IV.2020;Pavés grès;Trottoir;Formulaire;1,552886024;3,574567829;27,30735423;47,61207149;19,33782596;0,615294462
21;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;21;Ixelles;Rue Emile Janson, 34-50;50,82732133;4,360590751;70;45;3;22.IV.2020;Pavés;Trottoir;Formulaire;2,7020621;11,14008059;40,72054989;31,47665324;9,172789761;4,787864423
24;Halictidae;Lasioglossum;sexstrigatum;female;Lasioglossum_sexstrigatum;(Schenck 1868);G. Noël;G. Noël;24;Watermael-Boitsfort;Archiducs, Square des Archiducs;50,80999176;4,416213965;30;20;2;15.IV.2020;Pavés grès;Trottoir;Découverte;7,461567304;2,324709411;48,143982;36,22047244;3,562054743;2,287214098
26;Halictidae;Lasioglossum;sexstrigatum;female;Lasioglossum_sexstrigatum;(Schenck 1868);G. Noël;G. Noël;26;Watermael-Boitsfort;Drève des équipages, 34;50,7876884;4,423326;4;3;2;15.IV.2020;Dalles béton;Trottoir;Découverte;5,051813472;3,367875648;58,16062176;24,22279793;5,310880829;3,886010363
27;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;27;Watermael-Boitsfort;Avenue de la tenderie 72;50,8015396;4,406472;2;2;;15.IV.2020;Dalles béton;Trottoir;Site_Pot;3,452605148;6,779661017;35,15379787;39,35969868;12,30382925;2,950408035
29;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;29;Schaerbeek;Avenue Maréchal Foch, 7-19;50,8685995;4,3739861;200;40;2;22.IV.2020;Pavés;Trottoir;Formulaire;0,795311846;3,202176643;42,82126413;29,21724571;22,62452909;1,339472583
