ECH;Size;Family;Genus;Species;Sex;Espece_Conc;Line;Coll.;Det.;ID;Municipality;Address;Latitude;Longitude;Nest number;Nest length [m];Nest size [m];Date;P;Pavement type;Pavement location
31;1,3;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;31;Saint-Gilles;Avenue du Mont Kemmel, 26-32;50,8239736;4,3409383;175;15;3;25.IV.2020;14h30;Pavés;Trottoir
31;1,5;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;31;Saint-Gilles;Avenue du Mont Kemmel, 26-32;50,8239736;4,3409383;175;15;3;25.IV.2020;14h30;Pavés;Trottoir
31;1,6;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;31;Saint-Gilles;Avenue du Mont Kemmel, 26-32;50,8239736;4,3409383;175;15;3;25.IV.2020;14h30;Pavés;Trottoir
31;0,9;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;31;Saint-Gilles;Avenue du Mont Kemmel, 26-32;50,8239736;4,3409383;175;15;3;25.IV.2020;14h30;Pavés;Trottoir
32;1,5;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;32;Saint-Gilles;Avenue des villas, 46;50,8241478;4,3410627;20;5;2;25.IV.2020;15h00;Pavés grès/calcaire;Trottoir
32;0,8;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;32;Saint-Gilles;Avenue des villas, 46;50,8241478;4,3410627;20;5;2;25.IV.2020;15h00;Pavés grès/calcaire;Trottoir
32;0,5;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;32;Saint-Gilles;Avenue des villas, 46;50,8241478;4,3410627;20;5;2;25.IV.2020;15h00;Pavés grès/calcaire;Trottoir
32;1,3;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;32;Saint-Gilles;Avenue des villas, 46;50,8241478;4,3410627;20;5;2;25.IV.2020;15h00;Pavés grès/calcaire;Trottoir
32;1,3;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;32;Saint-Gilles;Avenue des villas, 46;50,8241478;4,3410627;20;5;2;25.IV.2020;15h00;Pavés grès/calcaire;Trottoir
32;0,8;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;32;Saint-Gilles;Avenue des villas, 46;50,8241478;4,3410627;20;5;2;25.IV.2020;15h00;Pavés grès/calcaire;Trottoir
35;3;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;35;Uccle;Rue Baron Perelman, pas de numéro en haut de la rue;50,79459891;4,358488599;100;25;0,5;27.IV.2020;12h00;Pavés grès;Route
35;2,7;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;35;Uccle;Rue Baron Perelman, pas de numéro en haut de la rue;50,79459891;4,358488599;100;25;0,5;27.IV.2020;12h00;Pavés grès;Route
35;3;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;35;Uccle;Rue Baron Perelman, pas de numéro en haut de la rue;50,79459891;4,358488599;100;25;0,5;27.IV.2020;12h00;Pavés grès;Route
35;3;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;35;Uccle;Rue Baron Perelman, pas de numéro en haut de la rue;50,79459891;4,358488599;100;25;0,5;27.IV.2020;12h00;Pavés grès;Route
35;2,7;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;35;Uccle;Rue Baron Perelman, pas de numéro en haut de la rue;50,79459891;4,358488599;100;25;0,5;27.IV.2020;12h00;Pavés grès;Route
35;3;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;35;Uccle;Rue Baron Perelman, pas de numéro en haut de la rue;50,79459891;4,358488599;100;25;0,5;27.IV.2020;12h00;Pavés grès;Route
36;0,5;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;36;Schaerbeek;Rue des chardons, 39;50,8572844;4,3928837;10;2;1;27.IV.2020;16h00;dalles béton;Trottoir
